player_id,pos,player,team,pass_cmp,pass_att,pass_yds,pass_td,pass_int,pass_sacked,pass_sacked_yds,pass_long,pass_rating,rush_att,rush_yds,rush_td,rush_long,targets,rec,rec_yds,rec_td,rec_long,fumbles_lost,rush_scrambles,designed_rush_att,comb_pass_rush_play,comb_pass_play,comb_rush_play,Opponent_abbrev,two_point_conv,total_ret_td,offensive_fumble_recovery_td,pass_target_yds,pass_poor_throws,pass_blitzed,pass_hurried,rush_yds_before_contact,rush_yac,rush_broken_tackles,rec_air_yds,rec_yac,rec_drops,vis_team,home_team,week
JoneTi00,WR,Tim Jones,JAX,0,0,0,0,0,0,0,0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,PHI,0,0,0,0,0,0,0,0,0,0,-2.0,0,1,JAX,PHI,4
ManhCh00,TE,Chris Manhertz,JAX,0,0,0,0,0,0,0,0,0.0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,PHI,0,0,0,0,0,0,0,0,0,0,-3.0,3,0,JAX,PHI,4
JoneMa02,WR,Marvin Jones,JAX,0,0,0,0,0,0,0,0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,PHI,0,0,0,0,0,0,0,0,0,0,6.0,0,1,JAX,PHI,4
HurtJa00,QB,Jalen Hurts,PHI,16,25,204,0,1,2,13,31,72.7,16,38,1,13,0,0,0,0,0,0,3,13,43,30,13,JAX,0,0,0,156,2,4,7,30,8,0,0.0,0,0,JAX,PHI,4
SandMi01,RB,Miles Sanders,PHI,0,0,0,0,0,0,0,0,0.0,27,134,2,35,3,2,22,0,16,0,0,27,27,0,27,JAX,0,0,0,0,0,0,0,87,47,1,3.0,22,1,JAX,PHI,4
SermTr00,RB,Trey Sermon,PHI,0,0,0,0,0,0,0,0,0.0,2,19,0,14,0,0,0,0,0,0,0,2,2,0,2,JAX,0,0,0,0,0,0,0,10,9,0,0.0,0,0,JAX,PHI,4
GainKe00,RB,Kenneth Gainwell,PHI,0,0,0,0,0,0,0,0,0.0,5,19,1,10,2,1,-2,0,-2,0,0,5,5,0,5,JAX,0,0,0,0,0,0,0,13,6,0,2.0,3,0,JAX,PHI,4
BrowAJ00,WR,A.J. Brown,PHI,0,0,0,0,0,0,0,0,0.0,0,0,0,0,7,5,95,0,31,0,0,0,0,0,0,JAX,0,0,0,0,0,0,0,0,0,0,90.3,34,0,JAX,PHI,4
GoedDa00,TE,Dallas Goedert,PHI,0,0,0,0,0,0,0,0,0.0,0,0,0,0,6,5,72,0,26,0,0,0,0,0,0,JAX,0,0,0,0,0,0,0,0,0,0,9.0,70,1,JAX,PHI,4
SmitDe07,WR,DeVonta Smith,PHI,0,0,0,0,0,0,0,0,0.0,0,0,0,0,4,3,17,0,7,0,0,0,0,0,0,JAX,0,0,0,0,0,0,0,0,0,0,35.2,0,0,JAX,PHI,4
PascZa00,WR,Zach Pascal,PHI,0,0,0,0,0,0,0,0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,JAX,0,0,0,0,0,0,0,0,0,0,23.0,0,0,JAX,PHI,4
WatkQu00,WR,Quez Watkins,PHI,0,0,0,0,0,0,0,0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,JAX,0,0,0,0,0,0,0,0,0,0,0.0,0,0,JAX,PHI,4
